"amount","denom","address"
"200","pizza","penumbrav1t159nu4ncaht9qevacgmhwmw3t57ltrnuhhm9cl02m8dx45qfl5zn5vs2usxs3t32wjt47x2h0kg4ktt5ezq34rctlens8mmp0n0xm2y0vkznxanje5vq3rk0s97tnjrg69r5jgj"
"1_000__000_000","upenumbra","penumbrav1t15ahlru29lyl0r2a9ugfkzely56uk0d2gs2zyw6syh43uw08j4qypxdxym4plgtmqk23avflf7wk0mtv2rah8c9netndcw7hfzex5lzdhwk09vgn8j8xz5tvknkjakltzj3cgca"
"100","gm","penumbrav1t15ahlru29lyl0r2a9ugfkzely56uk0d2gs2zyw6syh43uw08j4qypxdxym4plgtmqk23avflf7wk0mtv2rah8c9netndcw7hfzex5lzdhwk09vgn8j8xz5tvknkjakltzj3cgca"
"100","cube","penumbrav1t15ahlru29lyl0r2a9ugfkzely56uk0d2gs2zyw6syh43uw08j4qypxdxym4plgtmqk23avflf7wk0mtv2rah8c9netndcw7hfzex5lzdhwk09vgn8j8xz5tvknkjakltzj3cgca"
"200","pizza","penumbrav1t15ahlru29lyl0r2a9ugfkzely56uk0d2gs2zyw6syh43uw08j4qypxdxym4plgtmqk23avflf7wk0mtv2rah8c9netndcw7hfzex5lzdhwk09vgn8j8xz5tvknkjakltzj3cgca"
"1_000__000_000","upenumbra","penumbrav1t15dccrrjv7w6d2fa4jx3m7hp0ctn32z669exukf2m6822l58hkqmrt4fegjw0lm5zjxedq7ux0lw3l869cn8f65zwwxz8eh27wljgy2t044dfhss8shtgys3y6phvrv6la2f3vx"
"100","gm","penumbrav1t15dccrrjv7w6d2fa4jx3m7hp0ctn32z669exukf2m6822l58hkqmrt4fegjw0lm5zjxedq7ux0lw3l869cn8f65zwwxz8eh27wljgy2t044dfhss8shtgys3y6phvrv6la2f3vx"
"100","cube","penumbrav1t15dccrrjv7w6d2fa4jx3m7hp0ctn32z669exukf2m6822l58hkqmrt4fegjw0lm5zjxedq7ux0lw3l869cn8f65zwwxz8eh27wljgy2t044dfhss8shtgys3y6phvrv6la2f3vx"
"200","pizza","penumbrav1t15dccrrjv7w6d2fa4jx3m7hp0ctn32z669exukf2m6822l58hkqmrt4fegjw0lm5zjxedq7ux0lw3l869cn8f65zwwxz8eh27wljgy2t044dfhss8shtgys3y6phvrv6la2f3vx"
"1_000__000_000","upenumbra","penumbrav1t15ggnpcx246qu5dmgzxuj4hyd0hmmpyqrjfc6h75a6w3suyy5z4ppyt5mslk628nj6jcr7jm55qqsrr2rkqe0xumadujxuw7t4en5yr3qnsrptlw3gwujcw22w6zcnaw9m6j8sh"
"100","gm","penumbrav1t15ggnpcx246qu5dmgzxuj4hyd0hmmpyqrjfc6h75a6w3suyy5z4ppyt5mslk628nj6jcr7jm55qqsrr2rkqe0xumadujxuw7t4en5yr3qnsrptlw3gwujcw22w6zcnaw9m6j8sh"
"100","cube","penumbrav1t15ggnpcx246qu5dmgzxuj4hyd0hmmpyqrjfc6h75a6w3suyy5z4ppyt5mslk628nj6jcr7jm55qqsrr2rkqe0xumadujxuw7t4en5yr3qnsrptlw3gwujcw22w6zcnaw9m6j8sh"
"200","pizza","penumbrav1t15ggnpcx246qu5dmgzxuj4hyd0hmmpyqrjfc6h75a6w3suyy5z4ppyt5mslk628nj6jcr7jm55qqsrr2rkqe0xumadujxuw7t4en5yr3qnsrptlw3gwujcw22w6zcnaw9m6j8sh"
