"amount","denom","address"
"1_000__000_000","upenumbra","penumbrav2t19hzv3w6dkyx20ma6huduycahd6rendprgtpdz3qd9v6gqd3g0fyemxt8rq2u4mkcrqzxw5jlkatgd82q7xdn2whhyxypstrwvpx8n7sf9yve9z5hnxsrcs8n9n5qfr2gu59zcg"
"1_000__000_000","upenumbra","penumbrav2t19ks359n88n0qmj8gwtzvuye778w55svfpkyd7zs948guvp5l57vy729wkdpwh80w8jrc585dxvwyprdlc569rex45h5htt3h8hsyj7zgqjqxczjakysp9l0768hgp97ye5calh"
"1_000__000_000","upenumbra","penumbrav2t1cw6u87v0qax39q2mrjwq80ss5l0dh8dgjnulyuvhr4ddepdz90lqxkuq5n7uaqrsz0cgt0wanfljam0l8zs3g5ewx7jmg2w9jhe0mlyu2nxjsqzdp6ag2mkxaq0s5rhl6ajn0r"
"1_000__000_000","upenumbra","penumbrav2t1d8kevnce7duakjd6f9ffqypq4ege3d09w7vppncfyxt56twl9usyf5vjtw9zj0wpnu97rmss0xr7ra73h0ruvpujzp0kg2rqy38jkr025w99zeumjlt4e350h3fnszh3lxmyev"
"1_000__000_000","upenumbra","penumbrav2t1dh83e4y369fv0qn4dx85gltpv0c74pjvnm84uzv7cz0s6h7y33hxsu6zv6wxdmjqrdk9l2vqw5jngr7qy79lu9gq7q7laeakqs9mr0wjhrwdqexmavapz6u806x6qgtj2j4rn8"
"1_000__000_000","upenumbra","penumbrav2t1dr7mq08a27g2m0dnca3x02vlh2p28dkt5m9ulqyz36pwyg96zjmc02c4ytn57gmp4fap5xvmc0s8xa92vnfl009yrexpmgqa2drtp4uw3fmdwgspet625v2eu5jmcdxpj5z32m"
"1_000__000_000","upenumbra","penumbrav2t1e7wn6hp0q9jely820v8g6nmu393gds05g6s97h65q25wpnhyy60g73qvs03aazpr9j7mxu9kwmxzhfsza95d0cdhrqul3qqf6245sc3rz9qqwlakj9aqucwzlqsyyh7j836flg"
"1_000__000_000","upenumbra","penumbrav2t1e8md8phlj9gnekcl22vlv6j5w4w6mup8kw94lhj3dyj5ct05v48vzmx3rralm7gsyl4ufqljmrnsp67ww6esaql7f3wp0cf2edau58y85gxk29xxpe3k0h579nhrxuqzpjls6k"
"1_000__000_000","upenumbra","penumbrav2t1ety8qmudf3skl29ry7et969rjkp2ut9zweqfwsna9ylxl05dpa89p2eg4kt6c5sp7drq44astm7pvl04ma2ufhpl3ff2fltqtm4kgzvz63e3f50xktcu77zxyf7csgn3r97095"
"1_000__000_000","upenumbra","penumbrav2t1f47ww3l0a8lkqws2htpg0yday93r85zyjjx8e55xll6uw9lxk8q5pyq047lr8jc55242kw6xp3fx4ehsq95ruvm6v7m9huzf96a4tknrfzwm6nv475ueakuu2dx6575ymwremd"
"1_000__000_000","upenumbra","penumbrav2t1fdlah5f3lmvwqvsdmw6ffe8xr6vg4nzz90aeghnhwvwurj6wv4dchk4a8uyqcqwv8x42keh46742twpg3z0cdtuxgnksfe2r8064czum9w8t35dek2hztszpsvw2579d26c870"
"1_000__000_000","upenumbra","penumbrav2t1gtjvke2r5fwa0pl8hf3yvuugxhz6jewj9uey3fld8y99xk2elmap22zrtln66rtqp5dgxkjscduzh7256atrhf0mdjk0y9x0krnw7zlucgtx0fa3qhvh2ll3mrxlhp2wpf3hmn"
"1_000__000_000","upenumbra","penumbrav2t1gvfjal7ucr4nrlak8tvyrngmglamanrduknqv7m8pzuywgez80s70jut9gvvu36le3j9gf7cfppzdquvhkm3cqfj0suk6sfupc3w63ssckdgx5eh2clu5u4g8falwamxx6r5lx"
